año,mes,día,abrir,max,min,cerrar,volumen
1986,3,13,0.09,0.10,0.09,0.10,1031788800
1986,3,14,0.10,0.10,0.10,0.10,308160000
1986,3,17,0.10,0.10,0.10,0.10,133171200
1986,3,18,0.10,0.10,0.10,0.10,67766400
1986,3,19,0.10,0.10,0.10,0.10,47894400
1986,3,20,0.10,0.10,0.09,0.10,58435200
1986,3,21,0.10,0.10,0.09,0.09,59990400
1986,3,24,0.09,0.09,0.09,0.09,65289600
1986,3,25,0.09,0.09,0.09,0.09,32083200
1986,3,26,0.09,0.10,0.09,0.09,22752000
1986,3,27,0.09,0.10,0.09,0.10,16848000
1986,3,31,0.10,0.10,0.09,0.10,12873600
1986,4,1,0.10,0.10,0.09,0.09,11088000
1986,4,2,0.09,0.10,0.09,0.10,27014400
1986,4,3,0.10,0.10,0.10,0.10,23040000
1986,4,4,0.10,0.10,0.10,0.10,26582400
1986,4,7,0.10,0.10,0.09,0.09,16560000
1986,4,8,0.09,0.10,0.09,0.10,10252800
1986,4,9,0.10,0.10,0.10,0.10,12153600
1986,4,10,0.10,0.10,0.10,0.10,13881600
1986,4,11,0.10,0.10,0.10,0.10,17222400
1986,4,14,0.10,0.10,0.10,0.10,12153600
1986,4,15,0.10,0.10,0.10,0.10,9302400
1986,4,16,0.10,0.11,0.10,0.10,31910400
1986,4,17,0.10,0.11,0.10,0.11,22003200
1986,4,18,0.11,0.11,0.10,0.10,21628800
1986,4,21,0.10,0.10,0.10,0.10,22924800
1986,4,22,0.10,0.10,0.10,0.10,15552000
1986,4,23,0.10,0.10,0.10,0.10,15609600
1986,4,24,0.10,0.11,0.10,0.11,62352000
1986,4,25,0.11,0.12,0.11,0.12,85795200
1986,4,28,0.12,0.12,0.12,0.12,28886400
1986,4,29,0.12,0.12,0.11,0.11,30326400
1986,4,30,0.11,0.12,0.11,0.11,30902400
1986,5,1,0.11,0.11,0.11,0.11,54345600
1986,5,2,0.11,0.11,0.11,0.11,20246400
1986,5,5,0.11,0.11,0.11,0.11,3254400
1986,5,6,0.11,0.11,0.11,0.11,9734400
1986,5,7,0.11,0.11,0.11,0.11,5155200
1986,5,8,0.11,0.11,0.11,0.11,3542400
1986,5,9,0.11,0.11,0.11,0.11,6076800
1986,5,12,0.11,0.11,0.11,0.11,10483200
1986,5,13,0.11,0.11,0.11,0.11,3830400
1986,5,14,0.11,0.11,0.11,0.11,9302400
1986,5,15,0.11,0.11,0.11,0.11,3801600
1986,5,16,0.11,0.11,0.11,0.11,11952000
1986,5,19,0.11,0.11,0.11,0.11,11001600
1986,5,20,0.11,0.11,0.11,0.11,61977600
1986,5,21,0.11,0.11,0.11,0.11,8092800
1986,5,22,0.11,0.11,0.11,0.11,4406400
1986,5,23,0.11,0.11,0.11,0.11,4089600
1986,5,27,0.11,0.11,0.11,0.11,13881600
1986,5,28,0.11,0.11,0.11,0.11,15523200
1986,5,29,0.11,0.12,0.11,0.12,45676800
